first,last,isfemale-genderize,genderize-acc,genderize-log,isfemale-genderapi,genderapi-acc,genderapi-log
Li-Qun,Xu,,0.0,"{""count"":0,""gender"":null,""name"":""Li-Qun"",""probability"":0.0},",True,53,"{""last_name"":""Xu"",""first_name"":""Li-Qun"",""strict"":false,""name"":""li-qun"",""name_sanitized"":""Li-Qun"",""country"":"""",""gender"":""female"",""samples"":4265,""accuracy"":53,""duration"":""38ms"",""credits_used"":1},"
Claudius,Gläser,False,99.0,"{""count"":2881,""gender"":""male"",""name"":""Claudius"",""probability"":0.99},",False,96,"{""last_name"":""Gl\u00e4ser"",""first_name"":""Claudius"",""strict"":false,""name"":""claudius"",""name_sanitized"":""Claudius"",""country"":"""",""gender"":""male"",""samples"":482,""accuracy"":96,""duration"":""42ms"",""credits_used"":1},"
Michael,Henning,False,100.0,"{""count"":2087284,""gender"":""male"",""name"":""Michael"",""probability"":1.0},",False,99,"{""last_name"":""Henning"",""first_name"":""Michael"",""strict"":false,""name"":""michael"",""name_sanitized"":""Michael"",""country"":"""",""gender"":""male"",""samples"":211741,""accuracy"":99,""duration"":""41ms"",""credits_used"":1},"
Robert,Van Gorder,False,100.0,"{""count"":1327990,""gender"":""male"",""name"":""Robert"",""probability"":1.0},",False,99,"{""last_name"":""van Gorder"",""first_name"":""Robert"",""strict"":false,""name"":""robert"",""name_sanitized"":""Robert"",""country"":"""",""gender"":""male"",""samples"":145540,""accuracy"":99,""duration"":""49ms"",""credits_used"":1},"
Munish,Gandhi,False,99.0,"{""count"":433,""gender"":""male"",""name"":""Munish"",""probability"":0.99},",False,99,"{""last_name"":""Gandhi"",""first_name"":""Munish"",""strict"":false,""name"":""munish"",""name_sanitized"":""Munish"",""country"":"""",""gender"":""male"",""samples"":906,""accuracy"":99,""duration"":""39ms"",""credits_used"":1},"
Etiel,Petrinja,False,75.0,"{""count"":12,""gender"":""male"",""name"":""Etiel"",""probability"":0.75},",False,85,"{""last_name"":""Petrinja"",""first_name"":""Etiel"",""strict"":false,""name"":""etiel"",""name_sanitized"":""Etiel"",""country"":"""",""gender"":""male"",""samples"":13,""accuracy"":85,""duration"":""41ms"",""credits_used"":1},"
Carlos,Salgado,False,100.0,"{""count"":1388498,""gender"":""male"",""name"":""Carlos"",""probability"":1.0},",False,99,"{""last_name"":""Salgado"",""first_name"":""Carlos"",""strict"":false,""name"":""carlos"",""name_sanitized"":""Carlos"",""country"":"""",""gender"":""male"",""samples"":174998,""accuracy"":99,""duration"":""92ms"",""credits_used"":1},"
Peter,Lane,False,100.0,"{""count"":1094417,""gender"":""male"",""name"":""Peter"",""probability"":1.0},",False,99,"{""last_name"":""Lane"",""first_name"":""Peter"",""strict"":false,""name"":""peter"",""name_sanitized"":""Peter"",""country"":"""",""gender"":""male"",""samples"":146529,""accuracy"":99,""duration"":""46ms"",""credits_used"":1},"
Ying,Wu,True,86.0,"{""count"":3942,""gender"":""female"",""name"":""Ying"",""probability"":0.86},",True,89,"{""last_name"":""Wu"",""first_name"":""Ying"",""strict"":false,""name"":""ying"",""name_sanitized"":""Ying"",""country"":"""",""gender"":""female"",""samples"":3308,""accuracy"":89,""duration"":""33ms"",""credits_used"":1},"
Robert,Austin,False,100.0,"{""count"":1327990,""gender"":""male"",""name"":""Robert"",""probability"":1.0},",False,99,"{""last_name"":""Austin"",""first_name"":""Robert"",""strict"":false,""name"":""robert"",""name_sanitized"":""Robert"",""country"":"""",""gender"":""male"",""samples"":145540,""accuracy"":99,""duration"":""43ms"",""credits_used"":1},"
Luc,Hoegaerts,False,99.0,"{""count"":86426,""gender"":""male"",""name"":""Luc"",""probability"":0.99},",False,97,"{""last_name"":""Hoegaerts"",""first_name"":""Luc"",""strict"":false,""name"":""luc"",""name_sanitized"":""Luc"",""country"":"""",""gender"":""male"",""samples"":18065,""accuracy"":97,""duration"":""44ms"",""credits_used"":1},"
Qingxiao,Guan,True,50.0,"{""count"":6,""gender"":""female"",""name"":""Qingxiao"",""probability"":0.5},",False,67,"{""last_name"":""Guan"",""first_name"":""Qingxiao"",""strict"":false,""name"":""qingxiao"",""name_sanitized"":""Qingxiao"",""country"":"""",""gender"":""male"",""samples"":3,""accuracy"":67,""duration"":""37ms"",""credits_used"":1},"
Mike,Rinderknecht,False,100.0,"{""count"":970635,""gender"":""male"",""name"":""Mike"",""probability"":1.0},",False,99,"{""last_name"":""Rinderknecht"",""first_name"":""Mike"",""strict"":false,""name"":""mike"",""name_sanitized"":""Mike"",""country"":"""",""gender"":""male"",""samples"":116286,""accuracy"":99,""duration"":""54ms"",""credits_used"":1},"
Diana,Zaiu Inkpen,True,100.0,"{""count"":565362,""gender"":""female"",""name"":""Diana"",""probability"":1.0},",True,98,"{""last_name"":""Inkpen"",""first_name"":""Diana"",""strict"":false,""name"":""diana"",""name_sanitized"":""Diana"",""country"":"""",""gender"":""female"",""samples"":59982,""accuracy"":98,""duration"":""97ms"",""credits_used"":1},"
Reinhard,Klein,False,100.0,"{""count"":17533,""gender"":""male"",""name"":""Reinhard"",""probability"":1.0},",False,99,"{""last_name"":""Klein"",""first_name"":""Reinhard"",""strict"":false,""name"":""reinhard"",""name_sanitized"":""Reinhard"",""country"":"""",""gender"":""male"",""samples"":1973,""accuracy"":99,""duration"":""36ms"",""credits_used"":1},"
Volker,Frehe,False,99.0,"{""count"":5352,""gender"":""male"",""name"":""Volker"",""probability"":0.99},",False,99,"{""last_name"":""Frehe"",""first_name"":""Volker"",""strict"":false,""name"":""volker"",""name_sanitized"":""Volker"",""country"":"""",""gender"":""male"",""samples"":3081,""accuracy"":99,""duration"":""37ms"",""credits_used"":1},"
